12340|LETRA POR COBRAR EN DESCUENTO|5||
123401|LET.POR COB. EN DESCUENTO SOLES|||
123402|LET.POR COB.EN DESCUENTO DOLARES|||
1235|LETRA POR COBRAR PROTESTADO|4||
12350|LETRA POR COBRAR PROTESTADO|5||
123501|LET.PROTESTADO SOLES|||
123502|LET.PROTESTADO DOLARES|||
124|FACTURA ENDOSADA POR COBRAR|3||
1241|FACTURA ENDOSADA POR COBRAR|4||
12410|FACTURA ENDOSADA POR COBRAR|5||
124101|FACTURA ENDOSADA POR COBRAR DOLARES|||
129|COBRANZA DUDOSA|3||
1291|FACTURAS, BOLETAS Y OTROS COMPROBANTES P|4||
12910|FACTURAS, BOLETAS Y OTROS COMPROBANTES P|5||
129101|FACT,BOL.Y OTR.COMP X COB. SOLES|||
129102|FACT,BOL.Y OTR.COMP X COB DOLARES|||
1293|LETRAS POR COBRAR|4||
12930|LETRAS POR COBRAR|5||
129301|LETRAS POR COBRAR SOLES|||
129302|LETRAS POR COBRAR DOLARES|||
13|CUENTAS POR COBRAR COMERCIALES – RELACIO|2||
131|FACTURAS,BOL.Y OTR.COMP. X COB|3||
1311|NO EMITIDAS|4||
13110|NO EMITIDAS|5||
131101|FACT.POR COB.NO EMITIDAS SOLES|||
131102|FACT.POR COB.NO EMITIDAS DOLARES|||
1312|EMITIDAS EN CARTERA|4||
13120|EMITIDAS EN CARTERA|5||
131201|F.X COB.EMITIDAS EN CARTERA SOLES|||
131202|F.X.COB.EMITIDAS EN CARTERA DOLARES|||
132|ANTICIPOS RECIBIDOS|3||
1321|ANTICIPOS RECIBIDOS|4||
13210|ANTICIPOS RECIBIDOS|5||
132101|ANTICIPOS RECIBIDOS - OTROS  SOLES|||
132102|ANTICIPOS RECIBIDOS - OTROS  DOLARES|||
133|LETRAS POR COBRAR|3||
1331|LETRAS POR COBRAR EN CARTERA|4||
13310|LETRAS POR COBRAR EN CARTERA|5||
133101|LET.POR COB.EN CARTERA SOLES|||
133102|LET.POR COB.EN CARTERA DOLARES|||
1332|LETRAS POR COBRAR EN COBRANZA|4||
13320|LETRAS POR COBRAR EN COBRANZA|5||
133201|LET.POR COB.EN COBRANZA SOLES|||
133202|LET.POR COB.EN COBRANZA DOLARES|||
1333|LETRA POR COBRAR EN DESCUENTO|4||
13330|LETRA POR COBRAR EN DESCUENTO|5||
133301|LET.POR COB.EN DESCUENTO SOLES|||
133302|LET.POR COB.EN DESCUENTO DOLARES|||
14|CTAS.POR COB.AL PERS.ACC,DIR,G|2||
141|CUENTAS POR COBRAR AL PERSONAL|3||
1411|PRESTAMOS|4||
141101|PRESTAMOS AL PERSONAL SOLES|||
141102|PRESTAMOS AL PERSONAL DOLARES|||
1412|ADELANTO DE REMUNERACIONES|4||
141201|ADELANTO DE REMUNERACIONES SOLES|||
141202|ADELANTO DE VACACIONES  SOLES|||
1413|ENTREGAS A RENDIR CUENTA|4||
141301|ENTREGAS A RENDIR CUENTA PERS.SOLES|||
141302|ENTREGAS A RENDIR CUENTA PERS.DOLARES|||
141303|ENTREGA A RENDIR DEVOL. SOLES|||
141304|ENTREGA A RENDIR DEVOL. DOLARES|||
1419|OTRAS CUENTAS POR COBRAR AL PERSONAL|4||
141901|OTRAS CUENTAS POR COBRAR AL PERS. SOLES|||
142|CTAS COBRAR A LOS ACCIONISTAS(SOCIOS|3||
1422|PRESTAMOS SOCIOS|4||
142201|PRESTAMO SOCIO SOLES|||
142202|PRESTAMO SOCIO DOLARES|||
1423|ADELANTO DE UTILIDADES|4||
142301|UTI-GILBERTO IGARASHI GONCALVES|||
142302|UTI-MARISABEL ASCENCIO DE LA S|||
142303|UTI-MONICA YAMAMOTO LOBE|||
142304|UTI.GILBERTO  IGARASHI GONCALVES-GA|||
142305|UTI.MARISABEL ASCENCIO COM-GA|||
1424|ENTREGAS A RENDIR CUENTA - SOCIOS|4||
142401|ENTREGAS RENDIR CUENTA SOCIOS  SOLES|||
142402|ENTREGAS RENDIR CUENTA SOCIOS DOLARES|||
16|CTAS.POR COBR.DIVERSAS-TERCERO|2||
161|PRESTAMOS|3||
1612|PRESTAMOS SIN GARANTIA|4||
161201|PRESTAMO OVER NIGHT SOLES|||
161202|PRESTAMO OVER NIGHT DOLARES|||
162|RECLAMACIONES A TERCEROS|3||
1621|RECLAMACION TERCEROS - COMPAÑIAS ASEGURA|4||
162101|RECLAMACIONES CIA SEGURO EN SOLES|||
162102|RECLAMACIONES CIA SEGURO EN DOLARES|||
1625|CUENTAS POR  COBRAR CON TARJETA|4||
162501|CUENTAS COBRAR -TARJ.VISA CREDITO SOLES|||
162502|CUENTAS COBRAR -TARJ.VISA DEBITO SOLES|||
162503|CUENTAS COBRAR -TARJ.MASTER CRED SOLES|||
162504|CUENTAS COBRAR -TARJ.IZI PAY CREDITO SOL|||
162505|CUENTAS COBRAR -TARJ.IZI PAY DEBITO SOLE|||
162506|CUENTAS COBRAR -TARJ.IZI PAY CREDITO DOL|||
162507|CUENTAS COBRAR -TARJ.IZI PAY DEBITO DOL|||
1626|CUENTAS POR COBRAR A BANCOS-COMISIONES|4||
162601|CUENTAS COBRAR BCO BCP-COMISIONES DOLARE|||
162602|CUENTAS COBRAR BCO BCP-COMISIONES SOLES|||
1629|OTRAS RECLAMACIONES A TERCEROS|4||
162901|RECLAMACIONES INSTIT.FINANCIE-AFP SOLES|||
162902|RECLAMACIONES INSTIT.FINANCIE-AFP DOLARE|||
162903|RECLAMACIONES ADUANAS-SUNAT EN DOLARES|||
162904|RECLAMACIONES ESSALUD-SUBSIDIO SOLES|||
162905|RECLAMACIONES ADUANAS-SUNAT EN SOLES|||
163|NTERESES, REGALIAS Y DIVIDENDOS.|3||
1631|INTERESES|4||
163101|INTERESES OVER NIGHT SOLES|||
163102|INTERESES OVER NIGHT DOLARES|||
164|DEPOSITOS OTORGADOS EN GARANTIA|3||
1643|DEPOSITO EN GARANTIA POR ALQUILERES|4||
164301|DEPOSITO GARANTIA ALQ-LOCAL-DOLARES|||
164302|DEPOSITO GARANTIA ALQ-LOCAL-SOLES|||
1644|DEPOSITO GARANTIA ADUANAS|4||
164401|DEPOSITO GARANTIA ADUANAS-DOLARES|||
167|TRIBUTOS POR ACREDITAR|3||
1671|PAGOS A CUENTA DEL IMPUESTO A LA RENTA|4||
167101|PAGOS A CUENTA DEL IMPUESTO A LA RENTA|||
1672|PAGOS A CUENTA DE ITAN|4||
167201|PAGOS A CUENTA DE ITAN|||
1673|IGV POR ACREDITAR EN COMPRAS|4||
167301|IGV POR ACREDITAR EN COMPRAS|||
1674|IGV POR ACREDITAR NO DOMICILIADOS|4||
167401|IGV POR ACREDITAR NO DOMICILIADOS|||
169|OTRAS CUENTAS POR COBR.DIVERSAS|3||
1691|ENTREGAS A RENDIR CUENTA A TERCEROS|4||
169101|ENTREGAS RENDIR CTA IMPORTACIONES SOLES|||
169102|ENTREGAS RENDIR CTA IMPORTACIONES DOLARE|||
169103|ENTREGAS A RENDIR CUENTA A TERCEROS SOLE|||
169104|ENTREGAS A RENDIR CUENTA A TERCEROS DOLA|||
169105|ENTREGA A RENDIR COMPROBANT CCH. SOLES|||
1699|OTRAS CUENTAS POR COBR.DIVERSA|4||
169901|OTRAS CUENTAS POR COBRAR SOLES|||
169902|OTRAS CUENTAS POR COBRAR DOLARES|||
17|CUENTAS POR COB. DIVERS-RELACIONADAS|2||
171|PRESTAMOS|3||
1712|SIN GARANTIA|4||
17120|SIN GARANTIA|5||
171201|PRESTAMO SIN GARANTIA SOLES|||
171202|PRESTAMO SIN GARANTIA DOLARES|||
18|SERVICIOS Y OTROS CONTRATADOS ANTICIPADO|2||
181|COSTOS FINANCIEROS|3||
1811|INTERESES POR DEVENGAR|4||
181101|INTERESES POR PRESTAMO BANCARIO SOLES|||
181102|INTERESES POR PRESTAMO BANCARIO DOLARES|||
181103|INTERESES-LETRAS EN DESCUENTO EN SOLES|||
181104|INTERESES-LETRAS EN DESCUENTO EN DOLARES|||
181105|GASTOS LEASING EN DOLARES|||
181106|GASTOS-CARTAS FIANZAS EN DOLARES|||
182|SEGUROS|3||
1821|SEGUROS LOCAL|4||
182101|SEGUROS ROBOS Y ASALTOS|||
182102|SEGURO CONTRA INCENDIOS|||
182103|SEGURO MULTIRIESGO|||
182104|SEGURO DESHONESTIDAD|||
1822|SEGURO UNIDADES DE TRANSPORTES|4||
182201|SEGURO SOAT VEHICULAR|||
182202|SEGURO VEHICULAR|||
1823|SEGURO EMPLEADOS|4||
182301|SEGURO MEDICO|||
182302|SEGURO VIDA_SCTR - EMPLEADOS|||
183|ALQUILERES|3||
1831|ALQUILERES PAGADOS POR ANTICIPADO|4||
183101|ALQUILERES LOCALES|||
183102|ALQUILERES DE GPS|||
189|OTROS GTOS CONTRATADOS ANTICIPADO|3||
1891|OTROS GTOS CONTRATADOS ANTICIPADO|4||
189101|OT.ANTIC.SUSCRIPCIONES|||
189102|OT.ANTIC.ARBITRIOS MUNICIPALES|||
189103|OT.ANTIC.IMPUESTO PREDIAL|||
189104|OT.ANTIC.IMPUESTO VEHICULAR|||
189105|OT.ANTIC.PUBLICIDAD|||
189106|OT.LINCENCIAS ANTIVIRUS|||
189107|OTROS GTOS CONTRAT ANTICIPADOS|||
189108|TARJETA DE REGALO (GIFT CARDS)|||
189109|OT.ANTIC.SERVICIO GPS|||
19|ESTIMACION DE CTAS.COBR.DUDOSAS|2||
191|CUENTAS POR COBRAR COMERCIALES-TERCEROS|3||
1911|FACTURAS, BOLETAS Y OTROS COMPROBANTES P|4||
191101|FACT,BOL.Y OTR.COMP.X COBRAR SOLES|||
191102|FACT,BOL.Y OTR.COMP.X COBRAR DOLARES|||
191103|CHEQUES DIFERIDOS EN SOLES|||
191104|CHEQUES DIFERIDOS EN DOLARES|||
1913|LETRAS POR COBRAR|4||
191301|LET.POR COB.EN CARTERA SOLES|||
191302|LET.POR COB.EN CARTERA DOLARES|||
191303|LET.POR COB.EN COBRANZA SOLES|||
191304|LET.POR COB EN COBRANZA DOLARES|||
191305|LET.POR COB. EN DESCUENTO SOLES|||
191306|LET.POR COB.EN DESCUENTO DOLARES|||
191307|LET.PROTESTADO SOLES|||
191308|LET.PROTESTADO DOLARES|||
192|CUENTAS COBRAR COMERCIALES - RELACIONADA|3||
1921|FACTURAS.BOL.Y OTR.COMP X COBRAR|4||
192101|FACT,BOL.Y OTR.COMP.X COBRAR SOLES|||
192102|FACT,BOL.Y OTR.COMP.X COBRAR DOLARES|||
1923|LETRAS POR COBRAR|4||
192301|LET.POR COB.EN CARTERA SOLES|||
192302|LET.POR COB.EN CARTERA DOLARES|||
193|CUENTAS POR COBRAR AL PERSONAL, A LOS AC|3||
1931|CUENTAS POR COBRAR AL PERSONAL|4||
193101|CUENTAS POR COBRAR AL PERSONAL EN SOLES|||
193102|CUENTAS POR COBRAR AL PERSONAL EN DOLARE|||
194|CUENTAS POR COBRAR DIVERSAS – TERCEROS|3||
1949|OTRAS CUENTAS POR COBRAR DIVERSAS|4||
194901|OTRAS CUENTAS POR COBRAR DIVERSAS SOLES|||
194902|OTRAS CUENTAS POR COBRAR DIVERSAS DOLARE|||
20|MERCADERIAS|2||
201|MERCADERIAS|3||
2011|MERCADERIAS|4||
20111|MERCADERIAS-COSTO|5||
201111|MERCADERIAS-COSTO|||
20114|MERCADERIAS-VALOR RAZONABLE|5||
201141|MERCADERIAS-VALOR RAZONABLE|||
21|PRODUCTOS TERMINADOS|2||
211|PRODUCTOS TERMINADOS|3||
2111|PRODUCTOS TERMINADOS|4||
21111|PRODUCTOS TERMINADOS-COSTO|5||
211111|PRODUCTOS TERMINADOS-COSTO|||
23|PRODUCTOS EN PROCESO|2||
235|INVENTARIO DE SERVICIOS EN PROCESO|3||
2351|SERVICIOS EN PROCESO|4||
23511|SERVICIOS EN PROCESO-COSTO|5||
235111|SERVICIOS EN PROCESO-COSTO|||
24|MATERIAS PRIMAS|2||
241|MATERIAS PRIMAS|3||
2411|MATERIAS PRIMAS|4||
24111|MATERIAS PRIMAS-COSTO|5||
241111|MATERIAS PRIMAS-COSTO|||
25|MAT.AUXILIARES,SUMIN.Y REPUEST|2||
252|SUMINISTROS|3||
2524|OTROS SUMINISTROS|4||
252411|COMPROBANTES DE PAGO|||
252412|PUBLICIDAD IMPORTACIONES|||
252413|PUBLICIDAD|||
252414|UTILES DE OFICINA-LIMPIEZA|||
28|INVENTARIO POR RECIBIR|2||
281|MERCADERIAS POR RECIBIR|3||
2811|MERCADERIAS POR RECIBIR|4||
28111|MERCADERIAS POR RECIBIR|5||
281111|MERCADERIAS POR RECIBIR TRANSITO|||
281112|MERCADERIAS POR RECIBIR CONSIGNACIONES|||
281113|MERCADERIAS POR RECIBIR RMA|||
281114|MERCADERIAS POR RECIBIR INCAUTACION|||
281115|MERCADERIAS POR RECIBIR MUESTRAS|||
281116|MERCADERIAS POR RECIBIR ALQUILER|||
29|DESVALORIZACION DE INVENTARIOS|2||
291|DESVAL.INVENT-MERCADERIAS|3||
2911|DESVAL.INVENT-MERCADERIAS|4||
29111|DESVAL.INVENT-MERCADERIAS-COSTO|5||
291111|DESVAL.INVENT-MERCADERIAS-COSTO|||
296|MATERIALES AUX.,SUMINISTROS Y REPUESTOS|3||
2962|SUMINISTROS|4||
296211|SUMINISTROS|||
32|ACTIVOS POR DERECHO DE USO|2||
322|PROP.PLANTA Y EQUI.- ARRENDA.FINANCIERO|3||
3222|ARRENDAMIENTO FINANCIERO-TERRENOS|4||
32221|ARRENDA.FINANCIERO-TERRENOS-COSTO|5||
322211|ARRENDA.FINANCIERO-TERRENOS-COSTO|||
3223|ARRENDAMIENTO FINANCIERO-EDIFICACIONES|4||
32231|ARRENDA.FINANCIERO-EDIFICACIONES-COSTO|5||
322311|ARRENDA.FINANCIERO-EDIFICACIONES-COSTO|||
3225|ARRENDAMIENTO FINANCIERO-UNID.TRANSPORTE|4||
32251|ARRENDA.FINANCIERO-UNIDADES TRANSP-COSTO|5||
322511|ARRENDA.FINANCIERO-UNIDADES TRANSP-COSTO|||
33|PROPIEDAD, PLANTA Y EQUIPO|2||
331|TERRENOS|3||
3311|TERRENOS|4||
33111|TERRENOS-COSTO|5||
331111|TERRENOS-COSTO|||
332|EDIFICACIONES|3||
3321|EDIFICACIONES|4||
33211|EDIFICACIONES-COSTO|5||
332111|LOCALES-COSTO|||
332112|ALMACENES-COSTO|||
3325|MEJORAS EN LOCALES ARRENDADOS.|4||
33251|MEJORAS LOCALES ARREND-COSTO|5||
332511|MEJORAS LOCALES ARREND-COSTO|||
334|UNIDADES DE TRANSPORTE|3||
3341|VEHÍCULOS MOTORIZADOS|4||
33411|UNIDADES TRANSPORTES-COSTO|5||
334111|UNIDADES TRANSPORTES-COSTO|||
33412|UNIDADES TRANSPORTES-REVALUACION|5||
334121|UNIDADES TRANSPORTES-REVALUACION|||
335|MUEBLES Y ENSERES|3||
3351|MUEBLES|4||
33511|MUEBLES-COSTO|5||
335111|MUEBLES-COSTO|||
33512|MUEBLES-REVALUACION|5||
335121|MUEBLES-REVALUACION|||
336|EQUIPOS DIVERSOS|3||
3361|EQUIPO PARA PROCESAMIENTO DE INFORMACION|4||
33611|EQ.PROCESAMIENT.INFORMACION-COSTO|5||
336111|EQ.PROCESAMIENT.INFORMACION-COSTO|||
33612|EQ.PROCESAMIENT.INFORMACION-REVALUAC|5||
336121|EQ.PROCESAMIENT.INFORMACION-REVALUAC|||
3362|EQUIPO DE COMUNICACIÓN|4||
33621|EQUIPO DE COMUNICACIÓN-COSTO|5||
336211|EQUIPO DE COMUNICACIÓN-COSTO|||
33622|EQUIPO DE COMUNICACIÓN-REVALUACION|5||
336221|EQUIPO DE COMUNICACIÓN-REVALUACION|||
3363|EQUIPO DE SEGURIDAD|4||
33631|EQUIPO DE SEGURIDAD-COSTO|5||
336311|EQUIPO DE SEGURIDAD-COSTO|||
33632|EQUIPO DE SEGURIDAD-REVALUACION|5||
336321|EQUIPO DE SEGURIDAD-REVALUACION|||
3369|OTROS EQUIPOS|4||
33691|OTROS EQUIPOS-COSTO|5||
336911|OTROS EQUIPOS-COSTO|||
33692|OTROS EQUIPOS-REVALUACION|5||
336921|OTROS EQUIPOS-REVALUACION|||
339|OBRAS EN CURSO|3||
3392|EDIFICACIONES EN CURSO|4||
33921|EDIFICACIONES EN CURSO-COSTO|5||
339211|EDIFICACIONES EN CURSO-COSTO|||
